tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
4,4,4,128,8,64,2,16,512,128,6.684671878814697,1748080
4,16,16,4,8,4,2,1,16,128,19.951616287231445,1750674
32,1,32,16,128,2,128,1,512,32,62.92582321166992,1758084
4,1,4,4,256,8,128,2,512,512,12.843008041381836,1760308
16,1,16,4,64,128,32,16,32,256,31.859712600708008,1761554
8,64,256,256,32,8,4,64,1024,128,37.26540756225586,1765843
64,4,8,8,64,64,16,2,1024,4,111.6385269165039,1767712
8,1,8,512,32,128,4,1,1024,32,8.385536193847656,1770048
4,1,128,8,8,64,1,16,32,128,2.976768016815185,1771913
16,8,16,4,64,64,16,1,1024,4,30.79270362854004,1774121
4,8,32,256,128,8,32,4,64,512,1.1038719415664673,1776154
8,8,16,128,8,32,1,4,2,128,45.32428741455078,1777655
32,4,8,16,32,128,128,2,512,128,31.15622329711914,1778981
32,1,64,8,64,8,16,4,32,1024,39.15980911254883,1783760
128,4,4,4,128,32,2,64,1024,64,3201.5791015625,1789541
32,2,32,8,128,16,4,64,1024,64,25.35833549499512,1790852
16,8,32,128,128,8,128,4,512,512,29.52601623535156,1792407
4,16,64,512,32,64,16,1,512,512,2.8037118911743164,1795049
16,4,128,4,64,4,4,128,512,512,3.432447910308838,1796983
16,2,16,1024,16,128,8,128,1024,128,8.863743782043457,1798806
64,16,32,8,64,16,2,8,256,64,129.06906127929688,1803617
16,16,64,32,128,2,2,256,256,512,2147483648.0,1814930
128,4,16,8,256,2,8,128,128,256,535.9656982421875,1819773
16,1,64,32,64,32,256,4,512,1024,63.48287963867188,1822736
4,2,32,32,128,1,32,32,64,32,1207.4168701171875,1825028
4,2,16,8,64,128,1,2,2,1024,44.2685432434082,1829821
8,32,128,1024,8,8,2,8,64,8,103.43526458740234,1831824
4,2,256,256,4,16,8,32,128,512,5.222400188446045,1834004
512,4,8,8,1024,2,2,1,32,16,2147483648.0,1849301
128,2,32,4,128,8,64,8,256,64,125.07647705078124,1852190
8,32,32,4,256,1,64,2,64,16,315.4176025390625,1854851
64,4,8,16,1024,2,8,2,8,256,10.348544120788574,1859155
16,16,16,256,16,64,64,8,256,32,568.6763305664062,1861254
4,16,64,16,64,4,4,8,4,256,28.20096015930176,1863519
16,4,64,32,16,8,2,16,256,128,1.3619199991226196,1865113
4,8,16,256,64,32,32,2,1024,16,4.59878396987915,1867512
256,4,8,4,512,1,16,4,1024,8,2147483648.0,1878939
8,512,512,4,16,1,4,8,128,8,2147483648.0,1894144
8,4,8,8,16,128,512,2,1024,1024,39.20076751708984,1895424
64,16,64,8,64,8,4,2,128,8,237.80044555664065,1905145
64,4,4,4,128,64,2,4,8,4,2910.55712890625,1910087
64,2,64,64,128,16,4,1,512,16,2147483648.0,1924837
16,1,8,64,64,32,1,512,512,1024,35.401729583740234,1926250
8,1,16,16,128,64,256,1,256,1,1671.7230224609375,1929575
4,256,1024,8,4,1,4,128,64,1024,158.1230010986328,1934974
16,1,16,16,32,128,16,8,16,8,638.755859375,1936940
16,2,16,4,256,16,1,1,128,32,2147483648.0,1951782
4,8,16,8,64,8,4,256,64,512,14.406656265258787,1954306
32,16,256,64,32,1,8,1,16,512,2147483648.0,1971812
4,4,4,16,4,32,4,32,256,512,9.883647918701172,1973638
16,16,16,64,32,128,1,8,1,16,2196.47998046875,1980032
4,2,64,32,4,128,8,4,32,64,25.07161521911621,1981415
32,16,32,8,32,8,2,256,512,512,68.0099868774414,1983852
8,2,4,16,64,64,32,8,256,8,65.09465789794922,1984941
16,2,16,64,32,64,1,4,1024,128,4.70630407333374,1987031
32,1,16,32,64,4,2,4,16,4,65.28819274902344,1988949
8,4,128,16,32,1,128,4,512,1024,156.5603790283203,1991405
8,16,64,8,64,1,4,4,256,4,30.41484832763672,1993342
