tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
32,1024,8,2,1.603584051132202,38293251
64,1024,8,4,0.8663039803504944,38296052
128,1024,64,2,1.1683839559555054,38298668
128,1024,8,4,0.899071991443634,38301044
16,1024,1,4,5.156864166259766,38304380
64,1024,8,4,0.8663039803504944,38307504
64,64,8,4,8.465408325195312,38311013
256,1024,128,2,1.1847679615020752,38313657
16,1024,2,4,2.982912063598633,38316951
64,1024,8,64,1.224704027175903,38319918
64,1024,8,4,0.8663039803504944,38322881
16,1024,2,4,2.982912063598633,38325240
4,1024,2,4,11.0131196975708,38328674
64,512,8,4,1.4120960235595703,38331314
64,1024,16,4,1.146880030632019,38333993
64,1024,8,4,0.8663039803504944,38336586
32,1024,4,8,1.5503360033035278,38339612
64,1024,32,1,0.8939520120620728,38342952
128,1024,32,2,1.1673599481582642,38345833
128,1024,64,1,1.1857919692993164,38348837
64,1024,32,1,0.8939520120620728,38351999
32,1024,8,64,2.0992000102996826,38355264
128,1024,8,4,0.8980479836463928,38358370
64,1024,16,2,0.8970239758491516,38360744
64,1024,32,1,0.8939520120620728,38363546
64,1024,32,1,0.8939520120620728,38366470
64,1024,32,1,0.8939520120620728,38368671
64,1024,16,4,1.1458560228347778,38371225
64,1024,32,1,0.8939520120620728,38373885
64,512,8,4,1.4131200313568115,38377009
64,1024,8,4,0.8663039803504944,38380018
128,1024,64,2,1.1694079637527466,38382876
4,128,4,4,66.69004821777344,38388886
64,1024,8,2,1.4141440391540527,38392000
64,1024,4,4,1.4714879989624023,38394898
64,1024,8,4,0.8652799725532532,38397767
128,4,32,4,185.80992126464844,38399857
128,512,8,4,1.4499839544296265,38402597
64,512,8,4,1.4131200313568115,38405729
128,512,16,4,2.062335968017578,38408518
64,1024,8,4,0.8663039803504944,38411248
64,1024,8,1,1.9814399480819704,38414663
64,32,8,8,23.993343353271484,38418813
64,1024,8,4,0.8652799725532532,38421708
64,8,8,4,62.95142364501953,38428223
64,1024,32,1,0.8939520120620728,38431180
32,1024,32,1,1.4755840301513672,38434252
8,1024,8,4,5.43232011795044,38437554
64,1024,8,4,0.8652799725532532,38440328
64,1024,8,4,0.8663039803504944,38442781
64,1024,32,1,0.8939520120620728,38445719
16,1024,8,4,2.836479902267456,38448937
64,1024,16,1,1.398784041404724,38452021
32,1024,4,2,2.6214399337768555,38454876
64,1024,8,2,1.4141440391540527,38457927
32,1024,8,2,1.603584051132202,38460960
64,1024,8,16,1.1386879682540894,38463187
64,1024,8,2,1.4141440391540527,38466341
128,1024,16,4,1.1919360160827637,38469133
64,1024,8,4,0.8663039803504944,38472301
32,1024,4,8,1.5503360033035278,38475314
