tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
32,128,1,1,15.574015617370604,37651682
128,128,2,2,5.574656009674072,37654175
128,256,128,2,3.571712017059326,37656725
1,8,1,1,3704.19091796875,37662232
1024,32,1024,1,21.982208251953125,37665396
128,32,8,2,15.67846393585205,37668731
16,1024,2,16,3.081216096878052,37671992
128,1024,64,4,1.1407359838485718,37674786
2,32,1,4,508.1600036621094,37676703
256,256,16,2,2.5221118927001958,37679223
128,128,1,2,9.10028839111328,37682754
512,512,4,256,2.31116795539856,37684915
128,32,32,4,23.96057510375977,37688525
16,32,2,32,102.36211395263672,37690434
512,16,64,2,46.04620742797852,37695042
128,32,8,1,15.135744094848633,37698802
512,128,64,4,6.906879901885986,37702114
16,32,4,2,59.60089492797852,37708312
64,128,64,16,7.262207984924316,37711104
128,512,2,512,3.837951898574829,37713769
4,128,4,32,105.79865264892578,37715912
16,512,4,8,5.133312225341797,37718769
64,64,8,16,12.489727973937988,37722017
1024,1024,1,2,6.166528224945068,37724860
512,256,1,256,8.157183647155762,37727398
64,128,4,4,4.4318718910217285,37729760
1024,1,128,1,611.3167114257812,37732226
128,64,128,4,12.985343933105469,37735030
16,32,1,8,60.73036956787109,37740733
256,16,8,8,47.13983917236328,37745984
16,4,2,1,427.9910278320313,37748167
128,256,64,4,3.661823987960816,37750857
32,2,2,2,446.2479248046875,37753100
512,128,32,2,6.653952121734619,37755943
1024,8,32,8,97.15916442871094,37757697
512,128,16,2,4.468736171722412,37760443
512,128,8,2,4.451327800750732,37762949
1024,512,1,4,3.955712080001831,37765599
128,4,128,4,196.22195434570312,37767374
256,1024,2,4,2.229248046875,37769611
512,1024,128,2,1.218559980392456,37771981
1024,1024,16,1,1.5329279899597168,37774337
256,128,32,2,6.667263984680176,37777413
256,1024,16,4,1.2042239904403689,37779990
512,256,16,32,4.129792213439941,37782281
128,64,2,16,9.600000381469728,37785489
16,16,8,1,115.24095916748048,37786938
1024,64,64,16,14.214143753051758,37789780
512,32,128,1,23.642112731933597,37793165
512,512,8,2,1.6814080476760864,37795659
256,2,16,1,232.9681854248047,37797263
512,64,2,64,14.038016319274902,37800552
16,256,2,32,13.526016235351562,37803698
128,2,2,1,152.700927734375,37805205
16,128,1,64,28.475391387939453,37809286
512,16,4,4,31.440895080566406,37813361
16,64,4,64,53.292030334472656,37818184
64,512,4,256,2.313215970993042,37820758
16,64,2,16,34.962432861328125,37825337
1024,32,8,1,15.086591720581056,37828201
512,32,1,32,21.778432846069336,37831657
1024,16,4,1,27.93471908569336,37835678
64,32,2,1,15.119359970092772,37838803
8,32,8,16,200.985595703125,37840360
1024,2,8,2,229.78048706054688,37842222
2,64,2,32,432.43212890625,37844273
64,128,1,128,7.972864151000977,37847251
1024,64,32,1,8.498175621032715,37849952
512,8,256,2,93.17990112304688,37851478
128,512,32,4,2.0387840270996094,37853812
16,512,4,1,5.121024131774902,37856835
1024,8,32,2,82.4637451171875,37863179
256,1,2,1,279.3298034667969,37864913
1024,16,256,1,42.03519821166992,37869831
4,256,4,128,61.04268646240234,37875825
256,32,4,2,15.227904319763184,37878993
32,2,4,2,452.305908203125,37881165
32,1024,4,64,2.2016000747680664,37883874
1024,64,4,8,8.465408325195312,37886687
32,64,32,2,23.333887100219727,37889985
2,512,2,16,39.79980850219727,37894170
512,256,2,1,7.051263809204102,37896990
32,8,2,4,115.63622283935548,37898544
256,16,64,4,49.01068878173828,37903775
256,128,16,8,6.7942399978637695,37906776
256,1024,2,16,5.885951995849609,37909988
256,128,16,16,6.635519981384277,37912776
8,256,8,8,26.299392700195312,37916571
256,256,64,16,3.820544004440308,37919286
8,2,8,2,1944.095703125,37922838
256,128,1,128,8.630271911621094,37925551
128,512,64,16,2.0654079914093018,37927908
8,64,2,8,65.7100830078125,37933463
128,512,8,64,2.150399923324585,37936272
512,8,4,4,60.16307067871094,37941733
128,256,4,4,2.530303955078125,37944120
256,512,1,64,6.031360149383545,37946819
512,128,4,2,4.794367790222168,37949918
512,256,256,1,3.3996798992156982,37952604
256,8,256,1,82.58048248291016,37959026
4,512,4,256,37.1333122253418,37963222
64,128,64,8,6.845439910888672,37966168
8,512,1,512,31.311872482299805,37970362
512,2,128,1,307.6833190917969,37972313
512,256,8,1,3.0023679733276367,37974837
128,64,32,2,12.140543937683104,37977887
8,32,2,1,114.76070404052734,37980512
8,32,4,4,128.3583984375,37982490
1024,256,4,8,2.5139200687408447,37985043
128,1024,1,512,9.162752151489258,37987936
256,128,4,128,7.195648193359375,37990813
8,32,2,16,137.74234008789062,37992814
8,64,4,64,108.2204132080078,37994702
8,256,2,64,28.35353660583496,37999211
1024,1024,1,128,11.385855674743652,38002524
256,256,4,16,3.4959359169006348,38005607
32,512,32,4,3.5379199981689453,38008812
64,512,1,16,5.597184181213379,38011479
128,1024,4,8,0.933888018131256,38013974
8,512,4,16,13.93561553955078,38017131
1024,512,4,2,2.9112319946289062,38020156
256,16,2,2,28.850175857543945,38024422
1024,512,256,2,2.0346879959106445,38026985
1,512,1,256,146.13197326660156,38028497
512,512,8,64,2.186239957809448,38030986
256,4,256,1,160.92979431152344,38032595
128,32,32,16,25.677824020385746,38036352
256,256,16,64,4.076543807983398,38039017
1024,16,1,8,30.865407943725582,38043640
1024,1024,512,2,3.931135892868042,38046686
1024,32,4,1,15.691776275634766,38049772
64,32,1,16,16.962560653686523,38052976
128,256,32,8,3.66592001914978,38055509
512,512,4,16,1.9916800260543823,38058100
256,32,64,1,23.36051177978516,38061646
32,1024,1,4,3.906559944152832,38064555
8,128,2,8,33.452030181884766,38068570
32,512,2,64,4.073472023010254,38071567
512,2,8,1,190.8572235107422,38073343
