tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
1024,8,32,1,3.992575883865357,10342244
1024,4,1024,1,13.214719772338867,10346805
1024,8,8,1,5.695487976074219,10348963
1024,1,16,1,4.099071979522705,10351890
1024,2,2,2,4.576255798339844,10355876
1024,4,16,1,4.047872066497803,10357945
1024,8,16,2,4.047872066497803,10360708
1024,1,4,1,4.065279960632324,10363633
1024,4,8,1,4.412415981292725,10366555
1024,1,16,1,4.099071979522705,10369034
1024,8,4,1,8.696831703186035,10372407
1024,2,8,1,4.056064128875732,10375048
1024,1,32,1,4.116479873657227,10377601
1024,2,16,1,4.079616069793701,10379718
1024,1,8,1,4.091904163360596,10382153
1024,1,4,1,4.0663042068481445,10384914
1024,1,16,1,4.101119995117188,10387516
1024,4,16,1,4.047872066497803,10389637
1024,4,16,1,4.047872066497803,10391989
1024,2,8,1,4.0570878982543945,10394128
1024,2,128,1,5.299200057983398,10396969
1024,16,1024,1,13.006848335266112,10401163
1024,2,1024,1,13.332480430603027,10404181
1024,1,4,1,4.065279960632324,10406838
1024,4,4,2,4.40012788772583,10410660
1024,8,8,2,4.415487766265869,10413327
1024,1,4,1,4.065279960632324,10416783
1024,16,32,1,4.383743762969971,10419911
1024,2,16,2,4.099071979522705,10422194
1024,2,16,1,4.078591823577881,10424227
1024,1,32,1,4.1154561042785645,10426344
1024,64,8,2,16.087039947509766,10429916
1024,4,4,2,4.398079872131348,10432538
1024,4,8,2,4.058112144470215,10434993
1024,2,8,1,4.058112144470215,10437174
1024,4,16,1,4.048895835876465,10440095
1024,8,8,2,4.4165120124816895,10443171
1024,4,16,1,4.047872066497803,10445665
1024,8,16,2,4.047872066497803,10449031
1024,32,16,4,5.964799880981445,10451505
1024,1,4,1,4.065279960632324,10453824
1024,2,8,1,4.0570878982543945,10455889
1024,1,32,1,4.1154561042785645,10458020
1024,2,16,1,4.078591823577881,10459717
1024,4,8,1,4.4165120124816895,10461901
512,2,4,2,8.00870418548584,10464157
1024,8,16,2,4.047872066497803,10466382
1024,1,16,1,4.099071979522705,10468475
1024,1,16,1,4.100096225738525,10471341
1024,2,64,1,5.302271842956543,10473600
1024,8,16,1,4.40012788772583,10476058
1024,16,64,1,5.093376159667969,10478491
512,4,8,1,7.920639991760254,10481215
1024,2,4,1,4.399104118347168,10484378
1024,16,4,1,16.021503448486328,10488026
1024,1,8,1,4.092927932739258,10490398
1024,1,128,1,5.360640048980713,10492550
1024,1,16,1,4.099071979522705,10495357
1024,64,1024,1,12.94643211364746,10498717
1024,2,16,1,4.079616069793701,10501819
1024,8,32,1,3.9935998916625977,10505322
1024,64,1024,1,12.94438362121582,10508800
1024,2,8,1,4.058112144470215,10511978
1024,4,4,2,4.398079872131348,10514814
1024,4,32,1,4.085760116577148,10518234
1024,8,16,2,4.047872066497803,10521586
1024,1,8,1,4.092927932739258,10524153
1024,4,32,1,4.084735870361328,10526767
1024,4,8,1,4.414463996887207,10528983
1024,4,16,1,4.047872066497803,10531260
512,1,4,1,8.00767993927002,10535018
1024,2,8,1,4.0570878982543945,10537635
1024,1,32,1,4.1154561042785645,10540176
1024,4,16,2,4.079616069793701,10543018
512,2,8,1,7.961599826812744,10545982
1024,1,16,1,4.099071979522705,10548295
512,8,2,2,11.321344375610352,10550887
1024,1,2,1,4.574207782745361,10554017
1024,4,32,1,4.084735870361328,10556441
1024,4,1,2,8.658944129943848,10559304
1024,2,8,1,4.0570878982543945,10561106
1024,16,64,1,5.093376159667969,10564137
1024,2,8,1,4.056064128875732,10566674
1024,1,4,1,4.065279960632324,10569859
1024,1,4,1,4.065279960632324,10572730
1024,16,256,1,5.669888019561768,10575616
1024,1,4,1,4.065279960632324,10578273
1024,1,4,1,4.065279960632324,10581155
1024,16,16,2,4.3970561027526855,10583870
1024,4,16,1,4.047872066497803,10586651
1024,2,32,1,4.093952178955078,10589245
1024,2,1024,1,13.333503723144531,10592443
1024,2,32,1,4.093952178955078,10594698
