tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
4,8,128,16,32,2,2,16,128,64,1.5237120389938354,True,2060498
8,1,16,1024,32,64,8,128,16,128,257.85137939453125,True,2061865
16,32,64,64,64,8,16,1,16,1,2147483648.0,False,2073270
32,256,256,4,32,2,1,1,32,8,2147483648.0,False,2092557
16,256,512,32,16,2,128,8,256,32,2147483648.0,False,2107131
32,1,64,8,64,2,8,1,1024,1,2147483648.0,False,2120162
4,32,32,16,4,64,8,32,8,64,1122.24560546875,True,2122563
8,1,64,4,32,16,8,2,64,64,18.112512588500977,True,2127640
64,4,8,4,512,1,8,8,8,16,1011.4365234375,True,2130880
64,1,64,8,128,4,8,128,8,256,303.2207336425781,True,2132555
4,16,32,64,4,128,32,2,64,2,1436.6689453125,True,2135286
4,64,512,8,4,8,4,4,16,256,948.7124633789062,True,2138870
128,2,4,32,512,8,4,32,16,32,2303.31494140625,True,2143494
8,32,1024,1024,8,2,8,4,32,32,2147483648.0,False,2155796
4,256,256,256,4,32,128,1,256,2,2147483648.0,False,2167341
32,1,16,32,512,4,4,1,128,1,2147483648.0,False,2180313
8,2,512,32,8,8,1,8,1,32,425.5314025878906,True,2187099
16,8,512,128,16,1,32,1,1024,1,2147483648.0,False,2205400
4,16,32,4,64,1,1,2,1,4,2147483648.0,False,2216825
8,64,64,64,8,1,16,32,512,32,326.5986633300781,True,2219746
4,8,16,16,64,1,1,128,1,1024,521.3030395507812,True,2224918
8,128,128,1024,16,8,2,1,2,64,2147483648.0,False,2236300
8,32,32,4,32,1,1,1,1,2,2147483648.0,False,2247835
4,2,512,1024,4,4,4,1,4,1,2147483648.0,False,2261211
4,1,512,512,4,8,1,1,2,1024,2147483648.0,False,2275947
64,1,32,16,128,4,16,4,32,8,251.504638671875,True,2280851
8,2,4,8,32,4,8,32,16,32,935.277587890625,True,2283014
4,2,128,16,4,8,1,1,4,1,2418.891845703125,True,2291654
4,1,256,32,4,4,1,1,16,8,149.9852752685547,True,2303492
4,1,8,64,8,8,4,2,32,16,70.16754913330078,True,2304672
4,4,16,16,16,1,2,16,64,32,75.66336059570312,True,2305947
16,1,16,32,32,4,2,1,2,2,1263.319091796875,True,2309909
8,8,128,64,64,1,4,8,32,64,3.481600046157837,True,2312578
8,8,32,64,16,4,1,16,2,128,101.19270324707033,True,2314392
4,2,4,4,8,64,1,1,64,4,66.40946960449219,True,2315835
16,4,128,64,32,1,16,2,16,1024,2147483648.0,False,2327247
4,1,16,4,16,1,128,2,256,4,1367.9267578125,True,2329728
8,4,64,256,32,32,32,2,128,512,9.046015739440918,True,2333210
16,8,32,16,32,1,8,16,512,1024,46.78246307373047,True,2334901
8,4,4,4,64,16,4,1,128,32,9.667584419250488,True,2337110
4,8,256,4,32,2,1,8,1,32,2147483648.0,False,2348631
16,512,512,4,16,4,2,1,8,2,2147483648.0,False,2358727
64,16,32,4,128,16,2,8,4,256,2147483648.0,False,2370044
4,8,16,32,256,16,1,4,1,8,2147483648.0,False,2382527
8,1,16,128,16,8,1,64,32,512,8.776703834533691,True,2385063
4,8,8,16,128,32,16,1,16,4,204.1343994140625,True,2386590
4,8,64,1024,4,32,32,32,32,64,361.0828857421875,True,2388155
32,128,256,128,32,4,4,2,64,2,2147483648.0,False,2402054
4,1,1024,128,4,2,4,1,8,4,2147483648.0,False,2412063
16,1,4,4,32,4,32,8,1024,32,29.37139129638672,True,2413299
8,4,8,16,8,16,128,2,1024,64,22.33856010437012,True,2415964
8,8,32,64,16,128,16,2,64,2,242.27430725097656,True,2417846
4,8,8,4,8,8,128,2,128,8,2226.68798828125,True,2421280
4,32,1024,16,8,1,1,2,256,512,2147483648.0,False,2435606
16,16,32,16,256,4,1,8,1,64,2147483648.0,False,2449540
8,32,1024,256,8,1,256,1,512,128,2147483648.0,False,2467809
8,4,8,16,32,8,1,64,64,128,31.459327697753903,True,2469440
4,1,32,32,16,16,8,1,256,1,46.82854461669922,True,2472713
4,32,1024,4,4,1,2,4,32,64,595.1324462890625,True,2478057
8,32,256,32,16,1,4,16,4,16,703.6293334960938,True,2481019
16,1,16,64,128,8,8,1,16,1,590.5531005859375,True,2484381
16,64,64,8,16,128,64,1,64,64,2147483648.0,False,2495719
16,1,16,4,128,2,32,2,32,4,770.4483642578125,True,2498057
4,1,4,4,8,1,1,1,8,1024,33.734657287597656,True,2499225
32,32,32,4,128,1,2,16,16,32,2147483648.0,False,2511335
4,16,1024,32,8,2,32,1,32,512,2147483648.0,False,2526194
8,1,4,16,32,8,1,1,1,1024,32.38604736328125,True,2528612
256,2,4,4,512,2,1,16,2,512,2147483648.0,False,2540170
4,128,512,1024,16,2,8,8,256,16,92.17536163330078,True,2544843
8,64,256,1024,8,16,16,8,32,32,660.8681030273438,True,2548193
16,8,256,128,32,8,32,2,512,8,2147483648.0,False,2560534
16,32,128,8,16,16,1,64,64,512,79.36819458007812,True,2565110
8,64,128,256,64,2,1,4,64,64,2147483648.0,False,2579126
4,1,512,64,4,16,8,1,32,1,2147483648.0,False,2594061
4,256,256,4,4,4,2,4,4,1024,3405.327392578125,True,2603367
16,4,128,16,16,8,1,128,1,512,48.57855987548828,True,2604742
8,4,8,256,64,32,2,32,4,32,538.80419921875,True,2606944
16,8,64,64,16,2,1,1,1024,4,70.02931213378906,True,2613831
